"","title","department","location","date.posted","link"
"1","Cloud Solutions Engineer - Apple Cloud Technologies","Software and Services","Austin","Nov 17, 2020","/en-us/details/200205744/cloud-solutions-engineer-apple-cloud-technologies?team=SFTWR"
"2","Hybrid Cloud Engineer","Software and Services","Santa Clara Valley (Cupertino)","Jun 3, 2020","/en-us/details/200171284/hybrid-cloud-engineer?team=SFTWR"
"3","Engineering Manager, Cloud Services","Software and Services","Santa Clara Valley (Cupertino)","May 13, 2020","/en-us/details/200145449/engineering-manager-cloud-services?team=SFTWR"
"4","QA Engineer- Apple Cloud","Software and Services","Santa Clara Valley (Cupertino)","Nov 17, 2020","/en-us/details/200162407/qa-engineer-apple-cloud?team=SFTWR"
"5","Cloud (GCP) Software Engineer","Software and Services","Santa Clara Valley (Cupertino)","Nov 10, 2020","/en-us/details/200205169/cloud-gcp-software-engineer?team=SFTWR"
"6","iOS  - Apple Cloud","Software and Services","Santa Clara Valley (Cupertino)","Nov 12, 2020","/en-us/details/200207111/ios-apple-cloud?team=SFTWR"
"7","Engineering Manager, Apple Cloud Infrastructure","Software and Services","Santa Clara Valley (Cupertino)","Nov 6, 2020","/en-us/details/200155401/engineering-manager-apple-cloud-infrastructure?team=SFTWR"
"8","Data Scientist- Apple Cloud Services","Software and Services","Santa Clara Valley (Cupertino)","Oct 14, 2020","/en-us/details/200183961/data-scientist-apple-cloud-services?team=SFTWR"
"9","Engineering Project Manager,  Cloud Technologies","Software and Services","Austin","Nov 12, 2020","/en-us/details/200205513/engineering-project-manager-cloud-technologies?team=SFTWR"
"10","Cloud DevOps Engineer, Apple Pay","Software and Services","Austin","Nov 10, 2020","/en-us/details/200206349/cloud-devops-engineer-apple-pay?team=SFTWR"
"11","Software Engineer, Cloud File Providers","Software and Services","Austin","Oct 25, 2020","/en-us/details/200182190/software-engineer-cloud-file-providers?team=SFTWR"
"12","Cloud Infrastructure Spark Software Engineer","Software and Services","Santa Clara Valley (Cupertino)","Oct 28, 2020","/en-us/details/200202021/cloud-infrastructure-spark-software-engineer?team=SFTWR"
"13","Senior Security Engineer, Apple Cloud Services","Software and Services","Santa Clara Valley (Cupertino)","Sep 8, 2020","/en-us/details/200189295/senior-security-engineer-apple-cloud-services?team=SFTWR"
"14","Apple Cloud Products - QA Engineer","Software and Services","Santa Clara Valley (Cupertino)","Oct 23, 2020","/en-us/details/200201680/apple-cloud-products-qa-engineer?team=SFTWR"
"15","Systems Software Cloud Engineer, Platform Architecture","Software and Services","Santa Clara Valley (Cupertino)","Nov 3, 2020","/en-us/details/200204481/systems-software-cloud-engineer-platform-architecture?team=SFTWR"
"16","Apple Cloud Products -  QA Mgr","Software and Services","Santa Clara Valley (Cupertino)","Oct 23, 2020","/en-us/details/200201675/apple-cloud-products-qa-mgr?team=SFTWR"
"17","Site Reliability Engineer (SRE), Cloud Services","Software and Services","Santa Clara Valley (Cupertino)","Jun 3, 2020","/en-us/details/200153273/site-reliability-engineer-sre-cloud-services?team=SFTWR"
"18","Principal Cloud Security Engineer, Information Security","Corporate Functions","Seattle","Nov 17, 2020","/en-us/details/200207287/principal-cloud-security-engineer-information-security?team=CORSV"
"19","Apple Cloud Data Science Manager/Sr. Manager","Software and Services","Santa Clara Valley (Cupertino)","Oct 30, 2020","/en-us/details/200203873/apple-cloud-data-science-manager-sr-manager?team=SFTWR"
"20","Apple Cloud Platform - internal tools","Software and Services","Santa Clara Valley (Cupertino)","Oct 6, 2020","/en-us/details/200156572/apple-cloud-platform-internal-tools?team=SFTWR"
"21","Apple Cloud Sr. SW Engineer- Traffic","Software and Services","Santa Clara Valley (Cupertino)","Oct 27, 2020","/en-us/details/200202808/apple-cloud-sr-sw-engineer-traffic?team=SFTWR"
"22","Site Reliability Engineer (SRE), Apple Cloud Services","Software and Services","Santa Clara Valley (Cupertino)","Oct 19, 2020","/en-us/details/200173767/site-reliability-engineer-sre-apple-cloud-services?team=SFTWR"
"23","Apple Cloud Services - JDK/JVM Software Engineer","Software and Services","Santa Clara Valley (Cupertino)","Oct 22, 2020","/en-us/details/200146446/apple-cloud-services-jdk-jvm-software-engineer?team=SFTWR"
"24","Site Reliability Engineer (SRE), Apple Cloud Services","Software and Services","Seattle","Oct 28, 2020","/en-us/details/200183674/site-reliability-engineer-sre-apple-cloud-services?team=SFTWR"
"25","Senior Product Manager Lead - Cloud Technologies","Software and Services","Santa Clara Valley (Cupertino)","Nov 2, 2020","/en-us/details/200140164/senior-product-manager-lead-cloud-technologies?team=SFTWR"
"26","Site Reliability Engineer (SRE), Apple Cloud Services","Software and Services","Santa Clara Valley (Cupertino)","Aug 5, 2020","/en-us/details/200183661/site-reliability-engineer-sre-apple-cloud-services?team=SFTWR"
"27","Software Engineer - Apple Cloud Web Apps","Software and Services","Santa Clara Valley (Cupertino)","Aug 13, 2020","/en-us/details/200185404/software-engineer-apple-cloud-web-apps?team=SFTWR"
"28","Software Engineering Manager, Cloud Services and Technologies","Software and Services","Santa Clara Valley (Cupertino)","Nov 10, 2020","/en-us/details/200205545/software-engineering-manager-cloud-services-and-technologies?team=SFTWR"
"29","Software Engineer in Test - Apple Cloud","Software and Services","Santa Clara Valley (Cupertino)","Nov 22, 2020","/en-us/details/200208384/software-engineer-in-test-apple-cloud?team=SFTWR"
"30","Apple Media Products - Senior Cloud Security Engineer","Software and Services","Santa Clara Valley (Cupertino)","Aug 12, 2020","/en-us/details/200186050/apple-media-products-senior-cloud-security-engineer?team=SFTWR"
"31","Manager, SRE Programs - Apple Cloud Infrastructure (ACI)","Software and Services","Santa Clara Valley (Cupertino)","Sep 14, 2020","/en-us/details/200174047/manager-sre-programs-apple-cloud-infrastructure-aci?team=SFTWR"
"32","Manager Site Reliability Engineering (SRE), Apple Cloud Services","Software and Services","Seattle","Nov 10, 2020","/en-us/details/200032706/manager-site-reliability-engineering-sre-apple-cloud-services?team=SFTWR"
"33","Senior Distributed Systems Software Engineer, Apple Cloud Services","Software and Services","Santa Clara Valley (Cupertino)","Nov 16, 2020","/en-us/details/200128812/senior-distributed-systems-software-engineer-apple-cloud-services?team=SFTWR"
"34","Senior Software Engineer - Apple Cloud Product Services","Software and Services","Santa Clara Valley (Cupertino)","Nov 12, 2020","/en-us/details/200206868/senior-software-engineer-apple-cloud-product-services?team=SFTWR"
"35","Full Stack Big Data Engineer- Apple Cloud Services","Software and Services","Santa Clara Valley (Cupertino)","Nov 11, 2020","/en-us/details/200206744/full-stack-big-data-engineer-apple-cloud-services?team=SFTWR"
"36","iOS Engineer- Apple Cloud Product Services- Apple Park","Software and Services","Santa Clara Valley (Cupertino)","Nov 20, 2020","/en-us/details/200179248/ios-engineer-apple-cloud-product-services-apple-park?team=SFTWR"
"37","Apple Cloud Services - Database Systems Engineer (Cassandra Storage)","Software and Services","Santa Clara Valley (Cupertino)","Oct 9, 2020","/en-us/details/200117446/apple-cloud-services-database-systems-engineer-cassandra-storage?team=SFTWR"
"38","Engineering Program Manager - <U+F8FF> Cloud Services / Fraud","Software and Services","Santa Clara Valley (Cupertino)","Oct 14, 2020","/en-us/details/200185944/engineering-program-manager-%EF%A3%BF-cloud-services-fraud?team=SFTWR"
"39","Sr. Software Engineer - Apple Cloud Product Services- Apple Park","Software and Services","Santa Clara Valley (Cupertino)","Jul 30, 2020","/en-us/details/200162375/sr-software-engineer-apple-cloud-product-services-apple-park?team=SFTWR"
"40","Sr. Software Engineer - Apple Cloud Productivity Apps -Apple Park","Software and Services","Santa Clara Valley (Cupertino)","Jul 20, 2020","/en-us/details/200180934/sr-software-engineer-apple-cloud-productivity-apps-apple-park?team=SFTWR"
